time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-04-05T14:23:20.334Z,40.683,-74.7532,4.66,4.8,mwr,31,106,0.648,0.34,us,us7000ma74,2024-04-05T15:07:28.877Z,"7 km N of Whitehouse Station, New Jersey",earthquake,2.06,5.343,0.027,130,reviewed,us,us
2020-09-09T06:00:13.553Z,40.3023,-74.2892,5.61,3.1,mb_lg,,146,0.434,0.53,us,us7000bk7f,2022-06-20T15:35:24.405Z,"3 km WSW of Marlboro, New Jersey",earthquake,2,1.5,0.052,96,reviewed,us,us
2015-08-14T07:41:25.210Z,40.752,-74.575,8.22,2.6,ml,27,83,0.06959,0.25,ld,ld60098871,2022-08-01T00:02:58.390Z,"3 km SE of Mendham, New Jersey",earthquake,0.34,0.8,0.18,27,reviewed,ld,ld
2009-02-03T03:34:19.010Z,40.8703333,-74.5265,0.05,2.95,md,26,90,0.1897,0.27,ld,ld2009020300,2022-07-15T02:04:19.776Z,"1 km ESE of Victory Gardens, New Jersey",earthquake,0.24,0.63,,,reviewed,ld,ld
2001-10-27T05:42:20.950Z,40.7926667,-73.9695,5.28,2.6,md,9,225,0.2178,0.18,ld,ld2001102700,2021-05-13T21:56:27.738Z,"1 km NNW of Manhattan, New York",earthquake,0.71,0.65,,,reviewed,ld,ld
2000-08-22T05:45:14.000Z,41.42,-73.63,6.7,2.6,md,7,,,,us,usp0009yy7,2014-11-07T01:10:54.113Z,"2 km WSW of Brewster Hill, New York",earthquake,,,,,reviewed,pal,pal
1992-01-15T17:16:27.800Z,41.239,-74.16,7,2.5,md,,,,,us,usp00051u7,2014-11-07T00:49:55.053Z,"5 km NNE of Tuxedo Park, New York",earthquake,,,,,reviewed,pal,pal
1992-01-09T08:50:45.220Z,40.363,-74.341,7.9,3.1,md,,,,,us,usp00051k3,2014-11-07T00:49:53.969Z,"4 km WNW of Robertsville, New Jersey",earthquake,,,,,reviewed,pal,pal
1991-10-28T20:58:26.100Z,41.07,-73.578,10,3,mblg,,,,,us,usp0004yhu,2014-11-07T00:49:28.144Z,"3 km WNW of Stamford, Connecticut",earthquake,,,,,reviewed,wes,wes
1991-04-12T11:12:11.620Z,41.151,-73.653,9.4,2.7,md,,,,,us,usp0004q85,2014-11-07T00:48:21.127Z,"2 km ENE of North Castle, New York",earthquake,,,,,reviewed,wes,wes
1986-11-23T21:29:38.830Z,40.956,-74.82,7.4,2.8,md,,,,,us,usp00030be,2014-11-07T00:39:22.714Z,"3 km NNW of Allamuchy, New Jersey",earthquake,,,,,reviewed,pal,pal
1986-04-22T07:28:23.760Z,40.98,-73.834,6.1,2.7,md,,,,,us,usp0002t3q,2014-11-07T00:38:15.238Z,"1 km SW of Greenville, New York",earthquake,,,,,reviewed,pal,pal
1985-10-21T10:37:15.000Z,40.99,-73.84,5,2.8,ml,,,,,us,usp0002kzz,2014-11-07T00:37:20.318Z,"1 km WSW of Greenville, New York",earthquake,,,,,reviewed,pal,pal
1985-10-19T10:07:40.300Z,40.98,-73.83,6,3.6,mb,,,,,us,usp0002kxt,2018-06-04T20:43:45.000Z,"1 km SSW of Greenville, New York",earthquake,,,,1,reviewed,pal,us
1983-02-19T05:45:45.130Z,40.649,-74.769,6,2.5,mblg,,,,,us,usp0001t5h,2014-11-07T00:32:42.814Z,"3 km N of Whitehouse Station, New Jersey",earthquake,,,,,reviewed,pal,pal
1980-03-11T06:00:26.000Z,40.155,-75.103,5,3.7,,,,,,us,usp00015yh,2014-11-06T23:24:18.947Z,"1 km NE of Willow Grove, Pennsylvania",earthquake,,,,,reviewed,us,pal
1980-01-17T10:13:16.100Z,41.309,-73.928,3,2.9,,,,,,us,usp000151t,2014-11-06T23:24:16.730Z,"2 km NNW of Peekskill, New York",earthquake,,,,,reviewed,l,pal
1979-12-30T14:15:11.600Z,41.14,-73.69,5,2.5,md,,,,,us,usp00014sp,2014-11-06T23:22:08.604Z,"0 km W of North Castle, New York",earthquake,,,,,reviewed,l,wes
1979-03-10T04:49:39.700Z,40.721,-74.504,3,3.1,,,,,,us,usp0000z8h,2014-11-06T23:21:58.172Z,"5 km E of Bernardsville, New Jersey",earthquake,,,,,reviewed,l,pal
1979-02-23T10:23:57.200Z,40.803,-74.809,13,2.9,,,,,,us,usp0000yz8,2014-11-06T23:21:57.327Z,"3 km ESE of Beattystown, New Jersey",earthquake,,,,,reviewed,l,pal
1979-01-30T16:30:52.100Z,40.321,-74.264,5,3.5,,,,,,us,usp0000ynj,2014-11-06T23:21:56.422Z,"1 km WNW of Marlboro, New Jersey",earthquake,,,,,reviewed,l,pal
1978-06-30T20:13:43.600Z,41.075,-74.202,5,2.9,,,,,,us,usp0000vcp,2014-11-06T23:21:50.142Z,"5 km WSW of Mahwah, New Jersey",earthquake,,,,,reviewed,l,pal
1976-04-13T15:39:12.900Z,40.8,-74.03,0,3.1,,,,,,us,usp0000fvc,2018-06-04T20:43:45.000Z,"1 km WSW of North Bergen, New Jersey",earthquake,,,,,reviewed,p,pal
